aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id,brand_name,in_stock,large_image,alternate_image,alternate_image_two,alternate_image_four,alternate_image_three,gender_added,category_added
https://www.awin1.com/pclick.php?p=41466283512&a=2771700&m=116329,Vivichi Satin Slip Maxi Skirt - Black - L,41466283512,220078AWUK,https://www.dv8fashion.com/Images/Models/Full/32000.jpg,"Turn heads with this beautiful satin maxi skirt! This is one of our favourites, the elastic and high waist makes it just as comfortable as it is stylish      High waist satin maxi skirt     Zip up fastening     A classic wardrobe stable Product Code: P-78577-10--",Maxi Skirts,25.99,DV8 Fashion,116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F32000.jpg&feedId=102766&k=cb8f469eebab97d987397b00fe24232429cf7189,GBP,,3.95,https://www.dv8fashion.com/en/Vivichi-Satin-Slip-Maxi-Skirt---Black/m-32000.aspx?PartnerID=4730&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,GBP25.99,102766,Vivichi,1,,https://www.dv8fashion.com/Images/Models/Full/32000-1.jpg,https://www.dv8fashion.com/Images/Models/Full/32000-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/32000-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=41466283513&a=2771700&m=116329,Vivichi Satin Slip Maxi Skirt - Black - M,41466283513,220079AWUK,https://www.dv8fashion.com/Images/Models/Full/32000.jpg,"Turn heads with this beautiful satin maxi skirt! This is one of our favourites, the elastic and high waist makes it just as comfortable as it is stylish      High waist satin maxi skirt     Zip up fastening     A classic wardrobe stable Product Code: P-78577-10--",Maxi Skirts,25.99,DV8 Fashion,116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F32000.jpg&feedId=102766&k=cb8f469eebab97d987397b00fe24232429cf7189,GBP,,3.95,https://www.dv8fashion.com/en/Vivichi-Satin-Slip-Maxi-Skirt---Black/m-32000.aspx?PartnerID=4730&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,GBP25.99,102766,Vivichi,1,,https://www.dv8fashion.com/Images/Models/Full/32000-1.jpg,https://www.dv8fashion.com/Images/Models/Full/32000-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/32000-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=43570763814&a=2771700&m=116329,Vivichi Satin Slip Maxi Skirt - Black - XL,43570763814,220081AWUK,https://www.dv8fashion.com/Images/Models/Full/32000.jpg,"Turn heads with this beautiful satin maxi skirt! This is one of our favourites, the elastic and high waist makes it just as comfortable as it is stylish      High waist satin maxi skirt     Zip up fastening     A classic wardrobe stable Product Code: P-78577-10--",Maxi Skirts,25.99,DV8 Fashion,116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F32000.jpg&feedId=102766&k=cb8f469eebab97d987397b00fe24232429cf7189,GBP,,3.95,https://www.dv8fashion.com/en/Vivichi-Satin-Slip-Maxi-Skirt---Black/m-32000.aspx?PartnerID=4730&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,GBP25.99,102766,Vivichi,1,,https://www.dv8fashion.com/Images/Models/Full/32000-1.jpg,https://www.dv8fashion.com/Images/Models/Full/32000-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/32000-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=41466283514&a=2771700&m=116329,Vivichi Satin Slip Maxi Skirt - Black - S,41466283514,220080AWUK,https://www.dv8fashion.com/Images/Models/Full/32000.jpg,"Turn heads with this beautiful satin maxi skirt! This is one of our favourites, the elastic and high waist makes it just as comfortable as it is stylish      High waist satin maxi skirt     Zip up fastening     A classic wardrobe stable Product Code: P-78577-10--",Maxi Skirts,25.99,DV8 Fashion,116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F32000.jpg&feedId=102766&k=cb8f469eebab97d987397b00fe24232429cf7189,GBP,,3.95,https://www.dv8fashion.com/en/Vivichi-Satin-Slip-Maxi-Skirt---Black/m-32000.aspx?PartnerID=4730&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,GBP25.99,102766,Vivichi,1,,https://www.dv8fashion.com/Images/Models/Full/32000-1.jpg,https://www.dv8fashion.com/Images/Models/Full/32000-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/32000-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=41466283567&a=2771700&m=116329,Vivichi Satin Midi Skirt - Blue - XL,41466283567,240221AWUK,https://www.dv8fashion.com/Images/Models/Full/33850.jpg,Maxi satin skirt in sage green by Vivichi...       Maxi length   Satin fabric   Blue colour         Product Code: P-81475-61--,Midi Skirts,12.99,DV8 Fashion,116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F33850.jpg&feedId=102766&k=93efb0ae5c80ea0add085f957de49e3f6d1d028a,GBP,,3.95,https://www.dv8fashion.com/en/Vivichi-Satin-Midi-Skirt---Blue/m-33850.aspx?PartnerID=4730&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,GBP12.99,102766,Vivichi,1,,https://www.dv8fashion.com/Images/Models/Full/33850-1.jpg,https://www.dv8fashion.com/Images/Models/Full/33850-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/33850-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=41466283515&a=2771700&m=116329,Vivichi Satin Slip Maxi Skirt - Black - XS,41466283515,220082AWUK,https://www.dv8fashion.com/Images/Models/Full/32000.jpg,"Turn heads with this beautiful satin maxi skirt! This is one of our favourites, the elastic and high waist makes it just as comfortable as it is stylish      High waist satin maxi skirt     Zip up fastening     A classic wardrobe stable Product Code: P-78577-10--",Maxi Skirts,25.99,DV8 Fashion,116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F32000.jpg&feedId=102766&k=cb8f469eebab97d987397b00fe24232429cf7189,GBP,,3.95,https://www.dv8fashion.com/en/Vivichi-Satin-Slip-Maxi-Skirt---Black/m-32000.aspx?PartnerID=4730&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,GBP25.99,102766,Vivichi,1,,https://www.dv8fashion.com/Images/Models/Full/32000-1.jpg,https://www.dv8fashion.com/Images/Models/Full/32000-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/32000-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=43995080077&a=2771700&m=116329,Vivichi Satin Maxi Skirt - Lemon - L,43995080077,270778AWUK,https://www.dv8fashion.com/Images/Models/Full/36681.jpg,Maxi satin skirt in lemon by Vivichi...      Maxi satin skirt in lemon     Maxi length     Satin fabric     Lemon colour Product Code: P-86366-25--,Maxi Skirts,25.99,DV8 Fashion,116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F36681.jpg&feedId=102766&k=fbeeb3351fa3a9ba0888659de7b3a2b83f3f6f73,GBP,,3.95,https://www.dv8fashion.com/en/Vivichi-Satin-Maxi-Skirt---Lemon/m-36681.aspx?PartnerID=4730&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,GBP25.99,102766,Vivichi,1,,https://www.dv8fashion.com/Images/Models/Full/36681-1.jpg,https://www.dv8fashion.com/Images/Models/Full/36681-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/36681-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=43831698087&a=2771700&m=116329,Vivichi Polka Dot Satin Skirt - White / Black - M,43831698087,268678AWUK,https://www.dv8fashion.com/Images/Models/Full/36493.jpg,Midi satin skirt in white with black by Vivichi      Satin skirt in white and black polka dots     Midi length     Satin fabric     Side zip fastening Product Code: P-86071-11--,Midi Skirts,27.99,DV8 Fashion,116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F36493.jpg&feedId=102766&k=78292d8fc540d751d18b89332d19a25a64f7e415,GBP,,3.95,https://www.dv8fashion.com/en/Vivichi-Polka-Dot-Satin-Skirt---White--Black/m-36493.aspx?PartnerID=4730&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,GBP27.99,102766,Vivichi,1,,https://www.dv8fashion.com/Images/Models/Full/36493-1.jpg,https://www.dv8fashion.com/Images/Models/Full/36493-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/36493-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=43831698090&a=2771700&m=116329,Vivichi Polka Dot Satin Skirt - White / Black - XS,43831698090,268681AWUK,https://www.dv8fashion.com/Images/Models/Full/36493.jpg,Midi satin skirt in white with black by Vivichi      Satin skirt in white and black polka dots     Midi length     Satin fabric     Side zip fastening Product Code: P-86071-11--,Midi Skirts,27.99,DV8 Fashion,116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F36493.jpg&feedId=102766&k=78292d8fc540d751d18b89332d19a25a64f7e415,GBP,,3.95,https://www.dv8fashion.com/en/Vivichi-Polka-Dot-Satin-Skirt---White--Black/m-36493.aspx?PartnerID=4730&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,GBP27.99,102766,Vivichi,1,,https://www.dv8fashion.com/Images/Models/Full/36493-1.jpg,https://www.dv8fashion.com/Images/Models/Full/36493-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/36493-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=43995080080&a=2771700&m=116329,Vivichi Satin Maxi Skirt - Lemon - XL,43995080080,270781AWUK,https://www.dv8fashion.com/Images/Models/Full/36681.jpg,Maxi satin skirt in lemon by Vivichi...      Maxi satin skirt in lemon     Maxi length     Satin fabric     Lemon colour Product Code: P-86366-25--,Maxi Skirts,25.99,DV8 Fashion,116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F36681.jpg&feedId=102766&k=fbeeb3351fa3a9ba0888659de7b3a2b83f3f6f73,GBP,,3.95,https://www.dv8fashion.com/en/Vivichi-Satin-Maxi-Skirt---Lemon/m-36681.aspx?PartnerID=4730&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,GBP25.99,102766,Vivichi,1,,https://www.dv8fashion.com/Images/Models/Full/36681-1.jpg,https://www.dv8fashion.com/Images/Models/Full/36681-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/36681-3.jpg,Womens,Skirts
